Chapter;Title;Block Title;Block.Code;Sub.Code;Sub.Title;Code;Disease;NUM;Descripción
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A044;Other intestinal Escherichia coli infections;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A045;Campylobacter enteritis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A046;Enteritis due to Yersinia enterocolitica;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A047;Enterocolitis due to Clostridium difficile;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A048;Other specified bacterial intestinal infections;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A04;Other bacterial intestinal infections;A049;Bacterial intestinal infection, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A050;Foodborne staphylococcal intoxication;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A051;Botulism;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A052;Foodborne Clostridium perfringens [Clostridium welchii] intoxication;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A053;Foodborne Vibrio parahaemolyticus intoxication;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A054;Foodborne Bacillus cereus intoxication;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A058;Other specified bacterial foodborne intoxications;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A05;Other bacterial foodborne intoxications, not elsewhere classified;A059;Bacterial foodborne intoxication, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A060;Acute amoebic dysentery;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A061;Chronic intestinal amoebiasis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A062;Amoebic nondysenteric colitis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A063;Amoeboma of intestine;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A064;Amoebic liver abscess;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A065;Amoebic lung abscess;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A066;Amoebic brain abscess;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A067;Cutaneous amoebiasis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A068;Amoebic infection of other sites;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A06;Amoebiasis;A069;Amoebiasis, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A070;Balantidiasis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A071;Giardiasis [lambliasis];0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A072;Cryptosporidiosis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A073;Isosporiasis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A078;Other specified protozoal intestinal diseases;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A07;Other protozoal intestinal diseases;A079;Protozoal intestinal disease, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A080;Rotaviral enteritis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A081;Acute gastroenteropathy due to Norwalk agent;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A082;Adenoviral enteritis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A083;Other viral enteritis;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A084;Viral intestinal infection, unspecified;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A08;Viral and other specified intestinal infections;A085;Other specified intestinal infections;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A09;Other gastroenteritis and colitis of infectious and unspecified origin;A090;Other and unspecified gastroenteritis and colitis of infectious origin;0;
1;Certain infectious and parasitic diseases;Intestinal infectious diseases;A00;A09;Other gastroenteritis and colitis of infectious and unspecified origin;A099;Gastroenteritis and colitis of unspecified origin;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A150;Tuberculosis of lung, confirmed by sputum microscopy with or without culture;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A151;Tuberculosis of lung, confirmed by culture only;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A152;Tuberculosis of lung, confirmed histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A153;Tuberculosis of lung, confirmed by unspecified means;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A154;Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A155;Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A156;Tuberculous pleurisy, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A157;Primary respiratory tuberculosis, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A158;Other respiratory tuberculosis, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A15;Respiratory tuberculosis, bacteriologically and histologically confirmed;A159;Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A160;Tuberculosis of lung, bacteriologically and histologically negative;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A161;Tuberculosis of lung, bacteriological and histological examination not done;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A162;Tuberculosis of lung, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A163;Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A164;Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A165;Tuberculous pleurisy, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A167;Primary respiratory tuberculosis without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A168;Other respiratory tuberculosis, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A16;Respiratory tuberculosis, not confirmed bacteriologically or histologically;A169;Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A17;Tuberculosis of nervous system;A170;Tuberculous meningitis;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A17;Tuberculosis of nervous system;A171;Meningeal tuberculoma;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A17;Tuberculosis of nervous system;A178;Other tuberculosis of nervous system;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A17;Tuberculosis of nervous system;A179;Tuberculosis of nervous system, unspecified;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A180;Tuberculosis of bones and joints;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A181;Tuberculosis of genitourinary system;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A182;Tuberculous peripheral lymphadenopathy;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A183;Tuberculosis of intestines, peritoneum and mesenteric glands;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A184;Tuberculosis of skin and subcutaneous tissue;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A185;Tuberculosis of eye;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A186;Tuberculosis of ear;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A187;Tuberculosis of adrenal glands;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A18;Tuberculosis of other organs;A188;Tuberculosis of other specified organs;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A19;Miliary tuberculosis;A190;Acute miliary tuberculosis of a single specified site;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A19;Miliary tuberculosis;A191;Acute miliary tuberculosis of multiple sites;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A19;Miliary tuberculosis;A192;Acute miliary tuberculosis, unspecified;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A19;Miliary tuberculosis;A198;Other miliary tuberculosis;0;
1;Certain infectious and parasitic diseases;Tuberculosis;A15;A19;Miliary tuberculosis;A199;Miliary tuberculosis, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A200;Bubonic plague;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A201;Cellulocutaneous plague;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A202;Pneumonic plague;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A203;Plague meningitis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A207;Septicaemic plague;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A208;Other forms of plague;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A20;Plague;A209;Plague, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A210;Ulceroglandular tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A211;Oculoglandular tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A212;Pulmonary tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A213;Gastrointestinal tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A217;Generalized tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A218;Other forms of tularaemia;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A21;Tularaemia;A219;Tularaemia, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A220;Cutaneous anthrax;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A221;Pulmonary anthrax;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A222;Gastrointestinal anthrax;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A227;Anthrax sepsis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A228;Other forms of anthrax;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A22;Anthrax;A229;Anthrax, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A230;Brucellosis due to Brucella melitensis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A231;Brucellosis due to Brucella abortus;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A232;Brucellosis due to Brucella suis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A233;Brucellosis due to Brucella canis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A238;Other brucellosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A23;Brucellosis;A239;Brucellosis, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A24;Glanders and melioidosis;A240;Glanders;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A24;Glanders and melioidosis;A241;Acute and fulminating melioidosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A24;Glanders and melioidosis;A242;Subacute and chronic melioidosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A24;Glanders and melioidosis;A243;Other melioidosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A24;Glanders and melioidosis;A244;Melioidosis, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A25;Rat-bite fevers;A250;Spirillosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A25;Rat-bite fevers;A251;Streptobacillosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A25;Rat-bite fevers;A259;Rat-bite fever, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A26;Erysipeloid;A260;Cutaneous erysipeloid;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A26;Erysipeloid;A267;Erysipelothrix sepsis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A26;Erysipeloid;A268;Other forms of erysipeloid;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A26;Erysipeloid;A269;Erysipeloid, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A27;Leptospirosis;A270;Leptospirosis icterohaemorrhagica;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A27;Leptospirosis;A278;Other forms of leptospirosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A27;Leptospirosis;A279;Leptospirosis, unspecified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A28;Other zoonotic bacterial diseases, not elsewhere classified;A280;Pasteurellosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A28;Other zoonotic bacterial diseases, not elsewhere classified;A281;Cat-scratch disease;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A28;Other zoonotic bacterial diseases, not elsewhere classified;A282;Extraintestinal yersiniosis;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A28;Other zoonotic bacterial diseases, not elsewhere classified;A288;Other specified zoonotic bacterial diseases, not elsewhere classified;0;
1;Certain infectious and parasitic diseases;Certain zoonotic bacterial diseases;A20;A28;Other zoonotic bacterial diseases, not elsewhere classified;A289;Zoonotic bacterial disease, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A300;Indeterminate leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A301;Tuberculoid leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A302;Borderline tuberculoid leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A303;Borderline leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A304;Borderline lepromatous leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A305;Lepromatous leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A308;Other forms of leprosy;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A30;Leprosy [Hansen disease];A309;Leprosy, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A31;Infection due to other mycobacteria;A310;Pulmonary mycobacterial infection;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A31;Infection due to other mycobacteria;A311;Cutaneous mycobacterial infection;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A31;Infection due to other mycobacteria;A318;Other mycobacterial infections;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A31;Infection due to other mycobacteria;A319;Mycobacterial infection, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A32;Listeriosis;A320;Cutaneous listeriosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A32;Listeriosis;A321;Listerial meningitis and meningoencephalitis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A32;Listeriosis;A327;Listerial sepsis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A32;Listeriosis;A328;Other forms of listeriosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A32;Listeriosis;A329;Listeriosis, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A33;Tetanus neonatorum;A33;Tetanus neonatorum;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A34;Obstetrical tetanus;A34;Obstetrical tetanus;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A35;Other tetanus;A35;Other tetanus;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A360;Pharyngeal diphtheria;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A361;Nasopharyngeal diphtheria;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A362;Laryngeal diphtheria;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A363;Cutaneous diphtheria;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A368;Other diphtheria;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A36;Diphtheria;A369;Diphtheria, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A37;Whooping cough;A370;Whooping cough due to Bordetella pertussis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A37;Whooping cough;A371;Whooping cough due to Bordetella parapertussis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A37;Whooping cough;A378;Whooping cough due to other Bordetella species;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A37;Whooping cough;A379;Whooping cough, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A38;Scarlet fever;A38;Scarlet fever;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A390;Meningococcal meningitis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A391;Waterhouse-Friderichsen syndrome;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A392;Acute meningococcaemia;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A393;Chronic meningococcaemia;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A394;Meningococcaemia, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A395;Meningococcal heart disease;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A398;Other meningococcal infections;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A39;Meningococcal infection;A399;Meningococcal infection, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A400;Sepsis due to streptococcus, group A;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A401;Sepsis due to streptococcus, group B;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A402;Sepsis due to streptococcus, group D;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A403;Sepsis due to Streptococcus pneumoniae;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A408;Other streptococcal sepsis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A40;Streptococcal sepsis;A409;Streptococcal sepsis, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A410;Sepsis due to Staphylococcus aureus;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A411;Sepsis due to other specified staphylococcus;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A412;Sepsis due to unspecified staphylococcus;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A413;Sepsis due to Haemophilus influenzae;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A414;Sepsis due to anaerobes;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A415;Sepsis due to other Gram-negative organisms;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A418;Other specified sepsis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A41;Other sepsis;A419;Sepsis, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A420;Pulmonary actinomycosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A421;Abdominal actinomycosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A422;Cervicofacial actinomycosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A427;Actinomycotic sepsis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A428;Other forms of actinomycosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A42;Actinomycosis;A429;Actinomycosis, unspecified;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A43;Nocardiosis;A430;Pulmonary nocardiosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A43;Nocardiosis;A431;Cutaneous nocardiosis;0;
1;Certain infectious and parasitic diseases;Other bacterial diseases;A30;A43;Nocardiosis;A438;Other forms of nocardiosis;0;
